Sword	Refinement	Artifact	Mainstat sand/gob/circ	Substat ATK%/CR/CD	Average DMG
Prototype Rancour 0 stack	1	4-bs frozen	ATK%/CRYO/CD	5/9/6	194652
Prototype Rancour 0 stack	5	4-bs frozen	ATK%/CRYO/CD	5/9/6	194652
Dark Iron Sword with proc	5	4-bs frozen	ATK%/CRYO/CR	0/2/18	193298
Festering Desire	5	4-bs frozen	ATK%/CRYO/CD	5/9/6	193208
Harbinger of Dawn no active	1	4-bs frozen	ATK%/CRYO/CR	4/4/12	189993
Harbinger of Dawn no active	5	4-bs frozen	ATK%/CRYO/CR	4/4/12	189993
Cool Steel no active	1	4-bs frozen	ATK%/CRYO/CR	0/2/18	189394
Cool Steel no active	5	4-bs frozen	ATK%/CRYO/CR	0/2/18	189394
Fillet Blade	1	4-bs frozen	ATK%/CRYO/CR	0/2/18	189394
Fillet Blade	5	4-bs frozen	ATK%/CRYO/CR	0/2/18	189394
Festering Desire	1	4-bs frozen	ATK%/CRYO/CD	5/9/6	188183
Iron Sting 0 stack	1	4-bs frozen	ATK%/CRYO/CD	5/9/6	183434
Iron Sting 0 stack	5	4-bs frozen	ATK%/CRYO/CD	5/9/6	183434
Dark Iron Sword with proc	1	4-bs frozen	ATK%/CRYO/CR	0/2/18	177032
Favonius Sword	1	4-bs frozen	ATK%/CRYO/CR	4/0/16	172047
Favonius Sword	5	4-bs frozen	ATK%/CRYO/CR	4/0/16	172047
Sacrificial Sword	1	4-bs frozen	ATK%/CRYO/CR	4/0/16	172047
Sacrificial Sword	5	4-bs frozen	ATK%/CRYO/CR	4/0/16	172047
Traveler's Handy Sword	1	4-bs frozen	ATK%/CRYO/CR	4/0/16	170831
Traveler's Handy Sword	5	4-bs frozen	ATK%/CRYO/CR	4/0/16	170831
Skyrider Sword with proc	5	4-bs frozen	ATK%/CRYO/CR	0/2/18	169577
Dark Iron Sword no proc	1	4-bs frozen	ATK%/CRYO/CD	3/10/7	161325
Dark Iron Sword no proc	5	4-bs frozen	ATK%/CRYO/CD	3/10/7	161325
Skyrider Sword with proc	1	4-bs frozen	ATK%/CRYO/CR	0/2/18	160570
Skyrider Sword no proc	1	4-bs frozen	ATK%/CRYO/CD	3/10/7	151865
Skyrider Sword no proc	5	4-bs frozen	ATK%/CRYO/CD	3/10/7	151865
