Sword	Refinement	Artifact set	Mainstats	E optimized substat ATK%/DEF%/CR/CD	Rotation optimized substat ATK%/DEF%/CR/CD	E optimized damage	Rotation optimized damage
Aquila Favonia no proc	2	2-def-2-no	ATK%/GEO/DEF%	0/20/0/0	0/18/2/0	11433.894516	231868.25754887983
Aquila Favonia no proc	3	2-def-2-no	ATK%/GEO/DEF%	0/20/0/0	0/18/2/0	11433.894516	233354.61807439136
Aquila Favonia no proc	4	2-def-2-no	ATK%/GEO/DEF%	0/20/0/0	0/17/3/0	11433.894516	234841.76380392964
Aquila Favonia no proc	5	2-def-2-no	ATK%/GEO/DEF%	0/20/0/0	0/17/3/0	11433.894516	236349.53107568691
Aquila Favonia no proc	1	2-def-2-petra	ATK%/GEO/DEF%	0/20/0/0	0/19/1/0	12411.707615999998	245161.5398635086
Aquila Favonia no proc	2	2-def-2-petra	ATK%/GEO/DEF%	0/20/0/0	0/19/1/0	12411.707615999998	246631.61969636436
Aquila Favonia no proc	3	2-def-2-petra	ATK%/GEO/DEF%	0/20/0/0	0/18/2/0	12411.707615999998	248108.61932816697
Aquila Favonia no proc	4	2-def-2-petra	ATK%/GEO/DEF%	0/20/0/0	0/18/2/0	12411.707615999998	249600.18081210848
Aquila Favonia no proc	5	2-def-2-petra	ATK%/GEO/DEF%	0/20/0/0	0/18/2/0	12411.707615999998	251091.74229604998
Aquila Favonia no proc	1	2-gamb-2-glad	ATK%/GEO/DEF%	0/20/0/0	0/20/0/0	11474.407764	233310.9646858984
Aquila Favonia no proc	2	2-gamb-2-glad	ATK%/GEO/DEF%	0/20/0/0	0/20/0/0	11474.407764	234693.20421391836
Aquila Favonia no proc	3	2-gamb-2-glad	ATK%/GEO/DEF%	0/20/0/0	0/20/0/0	11474.407764	236075.4437419384
Aquila Favonia no proc	4	2-gamb-2-glad	ATK%/GEO/DEF%	0/20/0/0	0/20/0/0	11474.407764	237457.6832699584
Aquila Favonia no proc	5	2-gamb-2-glad	ATK%/GEO/DEF%	0/20/0/0	0/20/0/0	11474.407764	238839.92279797842
Aquila Favonia no proc	1	2-gamb-2-no	ATK%/GEO/DEF%	0/20/0/0	0/20/0/0	11474.407764	232486.05638762636
Aquila Favonia no proc	2	2-gamb-2-no	ATK%/GEO/DEF%	0/20/0/0	0/20/0/0	11474.407764	233970.3594706464
Aquila Favonia no proc	3	2-gamb-2-no	ATK%/GEO/DEF%	0/20/0/0	0/20/0/0	11474.407764	235454.6625536664
Aquila Favonia no proc	4	2-gamb-2-no	ATK%/GEO/DEF%	0/20/0/0	0/20/0/0	11474.407764	236938.9656366864
Aquila Favonia no proc	5	2-gamb-2-no	ATK%/GEO/DEF%	0/20/0/0	0/20/0/0	11474.407764	238423.2687197064
Aquila Favonia no proc	1	2-gamb-2-petra	ATK%/GEO/DEF%	0/20/0/0	0/20/0/0	12355.247664	245904.0964514764
Aquila Favonia no proc	2	2-gamb-2-petra	ATK%/GEO/DEF%	0/20/0/0	0/20/0/0	12355.247664	247393.4506832464
Aquila Favonia no proc	3	2-gamb-2-petra	ATK%/GEO/DEF%	0/20/0/0	0/20/0/0	12355.247664	248882.8049150164
Aquila Favonia no proc	4	2-gamb-2-petra	ATK%/GEO/DEF%	0/20/0/0	0/20/0/0	12355.247664	250372.1591467864
Aquila Favonia no proc	5	2-gamb-2-petra	ATK%/GEO/DEF%	0/20/0/0	0/20/0/0	12355.247664	251861.5133785564
Aquila Favonia no proc	1	2-glad-2-petra	ATK%/GEO/CR	0/20/0/0	0/18/0/2	10585.132572672	238869.5864832619
Aquila Favonia no proc	2	2-glad-2-petra	ATK%/GEO/CR	0/20/0/0	0/17/0/3	10585.132572672	240777.41598740275
Aquila Favonia no proc	3	2-glad-2-petra	ATK%/GEO/CR	0/20/0/0	0/17/0/3	10585.132572672	242712.02023734202
Aquila Favonia no proc	4	2-glad-2-petra	ATK%/GEO/CR	0/20/0/0	0/17/0/3	10585.132572672	244646.62448728128
Aquila Favonia no proc	5	2-glad-2-petra	ATK%/GEO/CR	0/20/0/0	0/13/2/5	10585.132572672	246586.96877820772
Aquila Favonia no proc	1	2-glad-2-no	ATK%/GEO/CR	0/20/0/0	0/17/0/3	9751.219817472	226383.87451922227
Aquila Favonia no proc	2	2-glad-2-no	ATK%/GEO/CR	0/20/0/0	0/11/3/6	9751.219817472	228464.8327690875
Aquila Favonia no proc	3	2-glad-2-no	ATK%/GEO/CR	0/20/0/0	0/9/4/7	9751.219817472	230670.81337212923
Aquila Favonia no proc	4	2-glad-2-no	ATK%/GEO/CR	0/20/0/0	0/9/4/7	9751.219817472	232940.9620049132
Aquila Favonia no proc	5	2-glad-2-no	ATK%/GEO/CR	0/20/0/0	0/7/5/8	9751.219817472	235246.97849249706
Aquila Favonia no proc	1	2-petra-2-no	ATK%/GEO/CR	0/20/0/0	0/18/0/2	10585.132572672	237391.95766594505
Aquila Favonia no proc	2	2-petra-2-no	ATK%/GEO/CR	0/20/0/0	0/18/0/2	10585.132572672	239423.45704879373
Aquila Favonia no proc	3	2-petra-2-no	ATK%/GEO/CR	0/20/0/0	0/17/0/3	10585.132572672	241478.3375496052
Aquila Favonia no proc	4	2-petra-2-no	ATK%/GEO/CR	0/20/0/0	0/17/0/3	10585.132572672	243549.2477743495
Aquila Favonia no proc	5	2-petra-2-no	ATK%/GEO/CR	0/20/0/0	0/17/0/3	10585.132572672	245620.15799909376
Aquila Favonia no proc	1	2-def-2-glad	ATK%/GEO/CR	0/20/0/0	0/10/3/7	10630.5708902976	229004.21584763145
Aquila Favonia no proc	2	2-def-2-glad	ATK%/GEO/CR	0/20/0/0	0/8/4/8	10630.5708902976	230891.37898937616
Aquila Favonia no proc	3	2-def-2-glad	ATK%/GEO/CR	0/20/0/0	0/8/4/8	10630.5708902976	232823.16315085144
Aquila Favonia no proc	4	2-def-2-glad	ATK%/GEO/CR	0/20/0/0	0/6/5/9	10630.5708902976	234774.3964949095
Aquila Favonia no proc	5	2-def-2-glad	ATK%/GEO/CR	0/20/0/0	0/6/5/9	10630.5708902976	236786.2468818243
Aquila Favonia no proc	1	2-def-2-no	ATK%/GEO/CR	0/20/0/0	0/10/3/7	10630.5708902976	228065.63460701337
Aquila Favonia no proc	2	2-def-2-no	ATK%/GEO/CR	0/20/0/0	0/10/3/7	10630.5708902976	230063.44218448433
Aquila Favonia no proc	3	2-def-2-no	ATK%/GEO/CR	0/20/0/0	0/8/4/8	10630.5708902976	232140.50065705026
Aquila Favonia no proc	4	2-def-2-no	ATK%/GEO/CR	0/20/0/0	0/7/5/8	10630.5708902976	234220.8828681777
Aquila Favonia no proc	5	2-def-2-no	ATK%/GEO/CR	0/20/0/0	0/6/5/9	10630.5708902976	236381.42385745066
Aquila Favonia no proc	1	2-def-2-petra	ATK%/GEO/CR	0/20/0/0	0/17/0/3	11539.684706457598	241571.68183984145
Aquila Favonia no proc	2	2-def-2-petra	ATK%/GEO/CR	0/20/0/0	0/17/0/3	11539.684706457598	243333.10147778835
Aquila Favonia no proc	3	2-def-2-petra	ATK%/GEO/CR	0/20/0/0	0/17/0/3	11539.684706457598	245094.5211157353
Aquila Favonia no proc	4	2-def-2-petra	ATK%/GEO/CR	0/20/0/0	0/10/3/7	11539.684706457598	246919.39535780455
Aquila Favonia no proc	5	2-def-2-petra	ATK%/GEO/CR	0/20/0/0	0/10/3/7	11539.684706457598	248924.19350989265
Aquila Favonia no proc	1	2-gamb-2-glad	ATK%/GEO/CR	0/20/0/0	0/20/0/0	10387.8427133376	226296.19516901334
Aquila Favonia no proc	2	2-gamb-2-glad	ATK%/GEO/CR	0/20/0/0	0/19/0/1	10387.8427133376	227894.2981173012
Aquila Favonia no proc	3	2-gamb-2-glad	ATK%/GEO/CR	0/20/0/0	0/19/0/1	10387.8427133376	229515.83203123312
Aquila Favonia no proc	4	2-gamb-2-glad	ATK%/GEO/CR	0/20/0/0	0/19/0/1	10387.8427133376	231137.36594516502
Aquila Favonia no proc	5	2-gamb-2-glad	ATK%/GEO/CR	0/20/0/0	0/19/0/1	10387.8427133376	232758.89985909697
Aquila Favonia no proc	1	2-gamb-2-no	ATK%/GEO/CR	0/20/0/0	0/20/0/0	10387.8427133376	225346.1422459791
Aquila Favonia no proc	2	2-gamb-2-no	ATK%/GEO/CR	0/20/0/0	0/20/0/0	10387.8427133376	227055.62496744748
Aquila Favonia no proc	3	2-gamb-2-no	ATK%/GEO/CR	0/20/0/0	0/19/0/1	10387.8427133376	228787.58071913532
Aquila Favonia no proc	4	2-gamb-2-no	ATK%/GEO/CR	0/20/0/0	0/19/0/1	10387.8427133376	230528.8475103682
Aquila Favonia no proc	5	2-gamb-2-no	ATK%/GEO/CR	0/20/0/0	0/19/0/1	10387.8427133376	232270.11430160108
Aquila Favonia no proc	1	2-gamb-2-petra	ATK%/GEO/CR	0/20/0/0	0/20/0/0	11185.271785497602	237544.1868806961
Aquila Favonia no proc	2	2-gamb-2-petra	ATK%/GEO/CR	0/20/0/0	0/20/0/0	11185.271785497602	239259.4870471395
Aquila Favonia no proc	3	2-gamb-2-petra	ATK%/GEO/CR	0/20/0/0	0/20/0/0	11185.271785497602	240974.7872135829
Aquila Favonia no proc	4	2-gamb-2-petra	ATK%/GEO/CR	0/20/0/0	0/20/0/0	11185.271785497602	242690.0873800263
Aquila Favonia no proc	5	2-gamb-2-petra	ATK%/GEO/CR	0/20/0/0	0/20/0/0	11185.271785497602	244405.3875464697
Aquila Favonia no proc	1	2-glad-2-petra	ATK%/GEO/CD	0/16/4/0	0/7/13/0	9602.220872363212	236065.5393615751
Aquila Favonia no proc	2	2-glad-2-petra	ATK%/GEO/CD	0/16/4/0	0/7/13/0	9602.220872363212	238441.2473123682
Aquila Favonia no proc	3	2-glad-2-petra	ATK%/GEO/CD	0/16/4/0	0/7/13/0	9602.220872363212	240816.95526316142
Aquila Favonia no proc	4	2-glad-2-petra	ATK%/GEO/CD	0/16/4/0	0/7/13/0	9602.220872363212	243192.66321395457
Aquila Favonia no proc	5	2-glad-2-petra	ATK%/GEO/CD	0/16/4/0	0/6/14/0	9602.220872363212	245621.0208622926
Aquila Favonia no proc	1	2-glad-2-no	ATK%/GEO/CD	0/16/4/0	0/6/14/0	8845.743387670733	225300.6377900535
Aquila Favonia no proc	2	2-glad-2-no	ATK%/GEO/CD	0/16/4/0	0/6/14/0	8845.743387670733	227725.0763221553
Aquila Favonia no proc	3	2-glad-2-no	ATK%/GEO/CD	0/16/4/0	0/6/14/0	8845.743387670733	230149.51485425705
Aquila Favonia no proc	4	2-glad-2-no	ATK%/GEO/CD	0/16/4/0	0/6/14/0	8845.743387670733	232573.95338635883
Aquila Favonia no proc	5	2-glad-2-no	ATK%/GEO/CD	0/16/4/0	0/6/14/0	8845.743387670733	234998.39191846058
Aquila Favonia no proc	1	2-petra-2-no	ATK%/GEO/CD	0/16/4/0	0/7/13/0	9602.220872363212	234215.79869947626
Aquila Favonia no proc	2	2-petra-2-no	ATK%/GEO/CD	0/16/4/0	0/7/13/0	9602.220872363212	236758.89136892444
Aquila Favonia no proc	3	2-petra-2-no	ATK%/GEO/CD	0/16/4/0	0/7/13/0	9602.220872363212	239301.98403837258
Aquila Favonia no proc	4	2-petra-2-no	ATK%/GEO/CD	0/16/4/0	0/7/13/0	9602.220872363212	241845.0767078208
Aquila Favonia no proc	5	2-petra-2-no	ATK%/GEO/CD	0/16/4/0	0/6/14/0	9602.220872363212	244412.39636678703
Aquila Favonia no proc	1	2-def-2-glad	ATK%/GEO/CD	0/14/6/0	0/5/15/0	9760.45517138734	228328.4285418385
Aquila Favonia no proc	2	2-def-2-glad	ATK%/GEO/CD	0/14/6/0	0/5/15/0	9760.45517138734	230380.22032326605
Aquila Favonia no proc	3	2-def-2-glad	ATK%/GEO/CD	0/14/6/0	0/5/15/0	9760.45517138734	232432.0121046936
Aquila Favonia no proc	4	2-def-2-glad	ATK%/GEO/CD	0/14/6/0	0/4/16/0	9760.45517138734	234526.10213967148
Aquila Favonia no proc	5	2-def-2-glad	ATK%/GEO/CD	0/14/6/0	0/4/16/0	9760.45517138734	236622.53430320157
Aquila Favonia no proc	1	2-def-2-no	ATK%/GEO/CD	0/14/6/0	0/5/15/0	9760.45517138734	227291.14590119108
Aquila Favonia no proc	2	2-def-2-no	ATK%/GEO/CD	0/14/6/0	0/5/15/0	9760.45517138734	229499.04334233303
Aquila Favonia no proc	3	2-def-2-no	ATK%/GEO/CD	0/14/6/0	0/5/15/0	9760.45517138734	231706.940783475
Aquila Favonia no proc	4	2-def-2-no	ATK%/GEO/CD	0/14/6/0	0/4/16/0	9760.45517138734	233944.7576175233
Aquila Favonia no proc	5	2-def-2-no	ATK%/GEO/CD	0/14/6/0	0/4/16/0	9760.45517138734	236200.69179724072
Aquila Favonia no proc	1	2-def-2-petra	ATK%/GEO/CD	0/14/6/0	0/6/14/0	10595.157723102335	239413.75104227514
Aquila Favonia no proc	2	2-def-2-petra	ATK%/GEO/CD	0/14/6/0	0/6/14/0	10595.157723102335	241581.16936329
Aquila Favonia no proc	3	2-def-2-petra	ATK%/GEO/CD	0/14/6/0	0/5/15/0	10595.157723102335	243794.68109524736
Aquila Favonia no proc	4	2-def-2-petra	ATK%/GEO/CD	0/14/6/0	0/5/15/0	10595.157723102335	246010.30424129873
Aquila Favonia no proc	5	2-def-2-petra	ATK%/GEO/CD	0/14/6/0	0/5/15/0	10595.157723102335	248225.9273873501
Aquila Favonia no proc	1	2-gamb-2-glad	ATK%/GEO/CD	0/17/3/0	0/8/12/0	9378.402552637059	219037.49401638858
Aquila Favonia no proc	2	2-gamb-2-glad	ATK%/GEO/CD	0/17/3/0	0/8/12/0	9378.402552637059	221013.6321089757
Aquila Favonia no proc	3	2-gamb-2-glad	ATK%/GEO/CD	0/17/3/0	0/8/12/0	9378.402552637059	222989.77020156287
Aquila Favonia no proc	4	2-gamb-2-glad	ATK%/GEO/CD	0/17/3/0	0/8/12/0	9378.402552637059	224965.90829415008
Aquila Favonia no proc	5	2-gamb-2-glad	ATK%/GEO/CD	0/17/3/0	0/7/13/0	9378.402552637059	226948.1929485313
Aquila Favonia no proc	1	2-gamb-2-no	ATK%/GEO/CD	0/17/3/0	0/8/12/0	9378.402552637059	217858.1523190478
Aquila Favonia no proc	2	2-gamb-2-no	ATK%/GEO/CD	0/17/3/0	0/8/12/0	9378.402552637059	219980.2070019305
Aquila Favonia no proc	3	2-gamb-2-no	ATK%/GEO/CD	0/17/3/0	0/8/12/0	9378.402552637059	222102.2616848132
Aquila Favonia no proc	4	2-gamb-2-no	ATK%/GEO/CD	0/17/3/0	0/8/12/0	9378.402552637059	224224.3163676959
Aquila Favonia no proc	5	2-gamb-2-no	ATK%/GEO/CD	0/17/3/0	0/8/12/0	9378.402552637059	226346.37105057863
Aquila Favonia no proc	1	2-gamb-2-petra	ATK%/GEO/CD	0/17/3/0	0/9/11/0	10098.341336104591	228360.3105545852
Aquila Favonia no proc	2	2-gamb-2-petra	ATK%/GEO/CD	0/17/3/0	0/9/11/0	10098.341336104591	230440.0256238524
Aquila Favonia no proc	3	2-gamb-2-petra	ATK%/GEO/CD	0/17/3/0	0/9/11/0	10098.341336104591	232519.7406931196
Aquila Favonia no proc	4	2-gamb-2-petra	ATK%/GEO/CD	0/17/3/0	0/8/12/0	10098.341336104591	234638.16464668518
Aquila Favonia no proc	5	2-gamb-2-petra	ATK%/GEO/CD	0/17/3/0	0/8/12/0	10098.341336104591	236767.4407750944
Aquila Favonia no proc	1	2-glad-2-petra	DEF%/GEO/DEF%	0/20/0/0	0/0/13/7	13974.967319039999	267465.8907333233
Aquila Favonia no proc	2	2-glad-2-petra	DEF%/GEO/DEF%	0/20/0/0	0/0/13/7	13974.967319039999	269723.1716273189
Aquila Favonia no proc	3	2-glad-2-petra	DEF%/GEO/DEF%	0/20/0/0	0/0/13/7	13974.967319039999	271980.45252131444
Aquila Favonia no proc	4	2-glad-2-petra	DEF%/GEO/DEF%	0/20/0/0	0/0/13/7	13974.967319039999	274237.73341531
Aquila Favonia no proc	5	2-glad-2-petra	DEF%/GEO/DEF%	0/20/0/0	0/0/13/7	13974.967319039999	276495.0143093056
Aquila Favonia no proc	1	2-glad-2-no	DEF%/GEO/DEF%	0/20/0/0	0/0/13/7	12873.998255039998	252228.32118418362
Aquila Favonia no proc	2	2-glad-2-no	DEF%/GEO/DEF%	0/20/0/0	0/0/13/7	12873.998255039998	254477.7311159554
Aquila Favonia no proc	3	2-glad-2-no	DEF%/GEO/DEF%	0/20/0/0	0/0/13/7	12873.998255039998	256727.14104772723
Aquila Favonia no proc	4	2-glad-2-no	DEF%/GEO/DEF%	0/20/0/0	0/0/13/7	12873.998255039998	258976.55097949904
Aquila Favonia no proc	5	2-glad-2-no	DEF%/GEO/DEF%	0/20/0/0	0/0/13/7	12873.998255039998	261225.96091127087
Aquila Favonia no proc	1	2-petra-2-no	DEF%/GEO/DEF%	0/20/0/0	0/0/13/7	13974.967319039999	264226.09849207127
Aquila Favonia no proc	2	2-petra-2-no	DEF%/GEO/DEF%	0/20/0/0	0/0/13/7	13974.967319039999	266642.4201163218
Aquila Favonia no proc	3	2-petra-2-no	DEF%/GEO/DEF%	0/20/0/0	0/0/13/7	13974.967319039999	269058.74174057244
Aquila Favonia no proc	4	2-petra-2-no	DEF%/GEO/DEF%	0/20/0/0	0/0/13/7	13974.967319039999	271475.06336482294
Aquila Favonia no proc	5	2-petra-2-no	DEF%/GEO/DEF%	0/20/0/0	0/0/13/7	13974.967319039999	273891.38498907356
Aquila Favonia no proc	1	2-def-2-glad	DEF%/GEO/DEF%	0/20/0/0	0/0/13/7	13637.517822720001	257208.34086133918
Aquila Favonia no proc	2	2-def-2-glad	DEF%/GEO/DEF%	0/20/0/0	0/0/13/7	13637.517822720001	259056.4170819929
Aquila Favonia no proc	3	2-def-2-glad	DEF%/GEO/DEF%	0/20/0/0	0/0/13/7	13637.517822720001	260904.49330264665
Aquila Favonia no proc	4	2-def-2-glad	DEF%/GEO/DEF%	0/20/0/0	0/0/13/7	13637.517822720001	262752.5695233004
Aquila Favonia no proc	5	2-def-2-glad	DEF%/GEO/DEF%	0/20/0/0	0/0/13/7	13637.517822720001	264600.6457439541
Aquila Favonia no proc	1	2-def-2-no	DEF%/GEO/DEF%	0/20/0/0	0/0/13/7	13637.517822720001	254963.5944435704
Aquila Favonia no proc	2	2-def-2-no	DEF%/GEO/DEF%	0/20/0/0	0/0/13/7	13637.517822720001	256952.2771137864
Aquila Favonia no proc	3	2-def-2-no	DEF%/GEO/DEF%	0/20/0/0	0/0/13/7	13637.517822720001	258940.95978400245
Aquila Favonia no proc	4	2-def-2-no	DEF%/GEO/DEF%	0/20/0/0	0/0/13/7	13637.517822720001	260929.64245421847
Aquila Favonia no proc	5	2-def-2-no	DEF%/GEO/DEF%	0/20/0/0	0/0/13/7	13637.517822720001	262918.3251244345
Aquila Favonia no proc	1	2-def-2-petra	DEF%/GEO/DEF%	0/20/0/0	0/0/13/7	14803.782174720001	271653.87818082044
Aquila Favonia no proc	2	2-def-2-petra	DEF%/GEO/DEF%	0/20/0/0	0/0/13/7	14803.782174720001	273649.51949648
Aquila Favonia no proc	3	2-def-2-petra	DEF%/GEO/DEF%	0/20/0/0	0/0/13/7	14803.782174720001	275645.1608121395
Aquila Favonia no proc	4	2-def-2-petra	DEF%/GEO/DEF%	0/20/0/0	0/0/13/7	14803.782174720001	277640.8021277991
Aquila Favonia no proc	5	2-def-2-petra	DEF%/GEO/DEF%	0/20/0/0	0/0/13/7	14803.782174720001	279636.4434434586
Aquila Favonia no proc	1	2-gamb-2-glad	DEF%/GEO/DEF%	0/20/0/0	0/18/2/0	13929.29940672	257454.56482295922
Aquila Favonia no proc	2	2-gamb-2-glad	DEF%/GEO/DEF%	0/20/0/0	0/18/2/0	13929.29940672	258877.79955259073
Aquila Favonia no proc	3	2-gamb-2-glad	DEF%/GEO/DEF%	0/20/0/0	0/18/2/0	13929.29940672	260301.03428222224
Aquila Favonia no proc	4	2-gamb-2-glad	DEF%/GEO/DEF%	0/20/0/0	0/17/3/0	13929.29940672	261726.66357232124
Aquila Favonia no proc	5	2-gamb-2-glad	DEF%/GEO/DEF%	0/20/0/0	0/17/3/0	13929.29940672	263170.3959027585
Aquila Favonia no proc	1	2-gamb-2-no	DEF%/GEO/DEF%	0/20/0/0	0/18/2/0	13929.29940672	255625.74646020573
Aquila Favonia no proc	2	2-gamb-2-no	DEF%/GEO/DEF%	0/20/0/0	0/18/2/0	13929.29940672	257154.07180051727
Aquila Favonia no proc	3	2-gamb-2-no	DEF%/GEO/DEF%	0/20/0/0	0/18/2/0	13929.29940672	258682.39714082878
Aquila Favonia no proc	4	2-gamb-2-no	DEF%/GEO/DEF%	0/20/0/0	0/18/2/0	13929.29940672	260210.7224811403
Aquila Favonia no proc	5	2-gamb-2-no	DEF%/GEO/DEF%	0/20/0/0	0/17/3/0	13929.29940672	261741.6552281443
Aquila Favonia no proc	1	2-gamb-2-petra	DEF%/GEO/DEF%	0/20/0/0	0/19/1/0	14998.59055872	271761.1873326594
Aquila Favonia no proc	2	2-gamb-2-petra	DEF%/GEO/DEF%	0/20/0/0	0/19/1/0	14998.59055872	273272.6275979151
Aquila Favonia no proc	3	2-gamb-2-petra	DEF%/GEO/DEF%	0/20/0/0	0/18/2/0	14998.59055872	274800.7928193168
Aquila Favonia no proc	4	2-gamb-2-petra	DEF%/GEO/DEF%	0/20/0/0	0/18/2/0	14998.59055872	276334.31911805837
Aquila Favonia no proc	5	2-gamb-2-petra	DEF%/GEO/DEF%	0/20/0/0	0/18/2/0	14998.59055872	277867.8454167998
Aquila Favonia no proc	1	2-glad-2-petra	DEF%/GEO/ATK%	0/20/0/0	0/19/1/0	11582.89276032	242902.6541454087
Aquila Favonia no proc	2	2-glad-2-petra	DEF%/GEO/ATK%	0/20/0/0	0/19/1/0	11582.89276032	244512.0197463312
Aquila Favonia no proc	3	2-glad-2-petra	DEF%/GEO/ATK%	0/20/0/0	0/19/1/0	11582.89276032	246121.3853472537
Aquila Favonia no proc	4	2-glad-2-petra	DEF%/GEO/ATK%	0/20/0/0	0/19/1/0	11582.89276032	247730.75094817622
Aquila Favonia no proc	5	2-glad-2-petra	DEF%/GEO/ATK%	0/20/0/0	0/18/2/0	11582.89276032	249351.61411572841
Aquila Favonia no proc	1	2-glad-2-no	DEF%/GEO/ATK%	0/20/0/0	0/18/2/0	10670.374948319999	229055.50969569842
Aquila Favonia no proc	2	2-glad-2-no	DEF%/GEO/ATK%	0/20/0/0	0/18/2/0	10670.374948319999	230684.67109091842
Aquila Favonia no proc	3	2-glad-2-no	DEF%/GEO/ATK%	0/20/0/0	0/18/2/0	10670.374948319999	232313.8324861384
Aquila Favonia no proc	4	2-glad-2-no	DEF%/GEO/ATK%	0/20/0/0	0/18/2/0	10670.374948319999	233942.9938813584
Aquila Favonia no proc	5	2-glad-2-no	DEF%/GEO/ATK%	0/20/0/0	0/18/2/0	10670.374948319999	235572.15527657839
Aquila Favonia no proc	1	2-petra-2-no	DEF%/GEO/ATK%	0/20/0/0	0/19/1/0	11582.89276032	241649.5922986377
Aquila Favonia no proc	2	2-petra-2-no	DEF%/GEO/ATK%	0/20/0/0	0/19/1/0	11582.89276032	243372.3486083102
Aquila Favonia no proc	3	2-petra-2-no	DEF%/GEO/ATK%	0/20/0/0	0/19/1/0	11582.89276032	245095.1049179827
Aquila Favonia no proc	4	2-petra-2-no	DEF%/GEO/ATK%	0/20/0/0	0/19/1/0	11582.89276032	246817.8612276552
Aquila Favonia no proc	5	2-petra-2-no	DEF%/GEO/ATK%	0/20/0/0	0/19/1/0	11582.89276032	248540.61753732775
Aquila Favonia no proc	1	2-def-2-glad	DEF%/GEO/ATK%	0/20/0/0	0/18/2/0	11433.894516	231080.19756130417
Aquila Favonia no proc	2	2-def-2-glad	DEF%/GEO/ATK%	0/20/0/0	0/18/2/0	11433.894516	232461.4674761357
Aquila Favonia no proc	3	2-def-2-glad	DEF%/GEO/ATK%	0/20/0/0	0/18/2/0	11433.894516	233842.73739096726
Aquila Favonia no proc	4	2-def-2-glad	DEF%/GEO/ATK%	0/20/0/0	0/17/3/0	11433.894516	235230.30893613742
Aquila Favonia no proc	5	2-def-2-glad	DEF%/GEO/ATK%	0/20/0/0	0/17/3/0	11433.894516	236631.4720693747
Aquila Favonia no proc	1	2-def-2-no	DEF%/GEO/ATK%	0/20/0/0	0/18/2/0	11433.894516	230381.8970233683
Aquila Favonia no proc	2	2-def-2-no	DEF%/GEO/ATK%	0/20/0/0	0/18/2/0	11433.894516	231868.25754887983
Aquila Favonia no proc	3	2-def-2-no	DEF%/GEO/ATK%	0/20/0/0	0/18/2/0	11433.894516	233354.61807439136
